Date,QQQ_Close,QQQ_Volume,^DJI_Close,^DJT_Close,Difference,SMA,STDEV,z_score,EMA
2022-05-11,285.2929992675781,140326100,31834.109375,14291.08984375,17543.01953125,18892.289794921875,783.3723679073267,-1.7223868481297955,89879260.40494967
2022-05-12,284.6184997558594,120910900,31730.30078125,14320.26953125,17410.03125,18859.06884765625,823.2487902055985,-1.7601454322141994,91145857.93944152
2022-05-13,295.1664733886719,83684900,32196.66015625,14456.41015625,17740.25,18832.962524414062,845.4721357722432,-1.2924287840852298,90841329.0439541
2022-05-16,291.7449951171875,59190400,32223.419921875,14334.76953125,17888.650390625,18808.171630859375,861.521040714336,-1.0673230214690377,89549454.38909882
2022-05-17,299.3016357421875,62715300,32654.58984375,14787.91015625,17866.6796875,18791.651245117188,874.6614204874273,-1.0575195566551039,88454182.78138049
2022-05-18,284.60882568359375,79477100,31490.0703125,13691.66015625,17798.41015625,18744.508758544922,886.5640105553152,-1.0671520510992951,88087771.23928331
2022-05-19,283.083740234375,79920700,31253.130859375,13439.2099609375,17813.9208984375,18694.290069580078,892.5069761849505,-0.9864003247411512,87754421.39278194
2022-05-20,282.2038879394531,91764200,31261.900390625,13490.9697265625,17770.9306640625,18637.891662597656,892.0362668375694,-0.9718898555646066,87918085.82572962
2022-05-23,286.896240234375,63648400,31880.240234375,13757.7998046875,18122.4404296875,18581.283813476562,864.1819088490707,-0.5309569421560287,86927486.40427126
2022-05-24,280.7962646484375,73491100,31928.619140625,13578.58984375,18350.029296875,18530.3603515625,826.3090369248833,-0.2182368177390431,86379062.46940303
2022-05-25,284.7259826660156,67144500,32120.279296875,13743.9697265625,18376.3095703125,18471.794982910156,764.5749194374173,-0.1248869275857433,85593978.28697841
2022-05-26,292.6150207519531,59462200,32637.189453125,14141.669921875,18495.51953125,18431.627532958984,726.3930810457853,0.08795788390361671,84527375.09159152
2022-05-27,302.16583251953125,66985600,33212.9609375,14444.66015625,18768.30078125,18403.69320678711,694.0095264209388,0.525363933177114,83811384.27152656
2022-05-31,301.3642883300781,60968300,32990.12109375,14301.490234375,18688.630859375,18371.515747070312,653.7970175043389,0.4850360338368827,82879013.48493363
2022-06-01,299.1353759765625,65341700,32813.23046875,14195.08984375,18618.140625,18340.611053466797,615.7759754202028,0.45069892722563293,82163204.77126287
2022-06-02,307.3274230957031,59291300,33248.28125,14490.6103515625,18757.6708984375,18313.87384033203,576.026564501912,0.7704454715369219,81229657.63774194
2022-06-03,299.3309020996094,60914700,32899.69921875,14444.83984375,18454.859375,18274.836669921875,518.2019252747557,0.34739875769985845,80400475.6933443
2022-06-06,300.3280029296875,51785000,32915.78125,14554.6103515625,18361.1708984375,18233.098602294922,449.1673000733866,0.2851327247590223,79232497.09361595
2022-06-07,302.91851806640625,44900300,33180.140625,14573.51953125,18606.62109375,18208.85107421875,403.7635026563482,0.9851559561830943,77831182.92652959
2022-06-08,300.73858642578125,38342100,32910.8984375,14017.830078125,18893.068359375,18213.50762939453,410.9307405950326,1.6537111071234454,76219383.62340593
2022-06-09,292.6834716796875,55900500,32272.7890625,13729.099609375,18543.689453125,18204.965393066406,400.6937023151252,0.845344107235817,75390041.43469548
2022-06-10,282.3603210449219,85963500,31392.7890625,13368.91015625,18023.87890625,18190.331298828125,398.411021142853,-0.41779063265030103,75821611.17205484
2022-06-13,269.2315673828125,94442000,30516.740234375,12963.8603515625,17552.8798828125,18164.823181152344,412.47569729174114,-1.4835863115276355,76581627.04258321
2022-06-14,269.7203674316406,64697500,30364.830078125,13239.1904296875,17125.6396484375,18118.991271972656,443.74519453491865,-2.238563111824276,76096560.63268185
2022-06-15,276.4558410644531,86051400,30668.529296875,13379.740234375,17288.7890625,18093.261199951172,467.39523513984113,-1.721181725805313,76502880.60685809
2022-06-16,265.3018493652344,81910300,29927.0703125,12924.51953125,17002.55078125,18057.37872314453,505.36941015622307,-2.0872413737278954,76723591.60249653
2022-06-17,268.52777099609375,82703400,29888.779296875,12868.599609375,17020.1796875,18024.87905883789,537.5968094306934,-1.8688715292076445,76967665.41463952
2022-06-21,275.3026123046875,51633700,30530.25,13061.6396484375,17468.6103515625,17991.783172607422,538.2437627830963,-0.9719997837778053,75933626.00996035
2022-06-22,274.9010314941406,67472900,30483.130859375,12914.849609375,17568.28125,17980.98355102539,543.300779793543,-0.759620299426442,75588290.25445175
2022-06-23,278.9951171875,57457800,30677.359375,13032.2099609375,17645.1494140625,17969.940673828125,546.514545481798,-0.5942957281755319,74848270.24406596
2022-06-24,288.554443359375,58422300,31500.6796875,13548.2998046875,17952.3798828125,17975.473205566406,545.3759175371412,-0.04234386229995854,74177822.47900204
2022-06-27,286.4388732910156,54151500,31438.259765625,13513.669921875,17924.58984375,17982.539764404297,543.1311982237169,-0.10669598955799107,73360421.56149176
2022-06-28,277.71209716796875,61609800,30946.990234375,13280.4296875,17666.560546875,17986.400421142578,540.338135892876,-0.5919254130361576,72880804.35490026
2022-06-29,277.96661376953125,57302700,31029.310546875,13221.9404296875,17807.3701171875,17998.817260742188,531.1533728265597,-0.3604366522910168,72244963.36082269
2022-06-30,274.5190734863281,79313600,30775.4296875,13156.900390625,17618.529296875,17995.01348876953,533.4954720233351,-0.7056933219445654,72533479.1420136
2022-07-01,276.3310546875,56675100,31097.259765625,13289.4296875,17807.830078125,17992.487854003906,534.2060849381714,-0.3456676759874017,71886198.36070691
2022-07-05,281.061767578125,61829300,30967.8203125,13216.6201171875,17751.2001953125,17988.879119873047,535.4719257550619,-0.4438681341237432,71475712.71333112
2022-07-06,282.8638610839844,63194700,31037.6796875,13210.009765625,17827.669921875,17989.793487548828,535.1610823721758,-0.30294348937929666,71137712.19441964
2022-07-07,288.9169616699219,56620100,31384.55078125,13467.83984375,17916.7109375,17993.00567626953,534.3793088390811,-0.14277262893145826,70545156.59464741
2022-07-08,289.2792663574219,59895500,31338.150390625,13397.2998046875,17940.8505859375,17998.315673828125,532.9437174546498,-0.1078258097591983,70110476.73364139
2022-07-11,283.0989685058594,55273900,31173.83984375,13245.740234375,17928.099609375,17992.24252319336,532.5908150583404,-0.12043563652394779,69504902.1730846
2022-07-12,280.3565979003906,55797100,30981.330078125,13171.9501953125,17809.3798828125,17975.347229003906,529.4408250385139,-0.3134766688597031,68945400.04357094
2022-07-13,279.7786560058594,73939400,30772.7890625,13001.0595703125,17771.7294921875,17956.4541015625,525.4430443606108,-0.351559719664352,69149236.77648641
2022-07-14,280.7776794433594,63741800,30630.169921875,12965.3896484375,17664.7802734375,17930.49349975586,518.4255871674404,-0.5125387961079546,68928525.0713237
2022-07-15,285.870849609375,63818100,31288.259765625,13212.2099609375,18076.0498046875,17908.86065673828,496.3092172388383,0.3368648861275581,68719936.29290232
2022-07-18,283.4515686035156,59519600,31072.609375,13281.41015625,17791.19921875,17880.81591796875,475.7555085622679,-0.1883671289263081,68344412.36257978
2022-07-19,292.16864013671875,55172600,31827.05078125,13796.650390625,18030.400390625,17862.44903564453,457.3618337775326,0.36721768756542705,67806787.36818875
2022-07-20,296.8014221191406,67769400,31874.83984375,13919.26953125,17955.5703125,17837.383392333984,427.7367097266488,0.2763076385039401,67805261.35316063
2022-07-21,301.06201171875,55049400,32036.900390625,13865.419921875,18171.48046875,17828.527801513672,417.3477801677991,0.8217431205658752,67284613.95099081
2022-07-22,295.78277587890625,57127700,31899.2890625,13811.150390625,18088.138671875,17819.995544433594,408.81077774843385,0.6559101228158203,66870046.03462384
2022-07-25,294.09820556640625,40582400,31990.0390625,13865.6103515625,18124.4287109375,17804.927032470703,387.19619468117673,0.8251674031297737,65797080.89035347
2022-07-26,288.3194274902344,50074100,31761.5390625,13614.1396484375,18147.3994140625,17781.624877929688,339.0407616696251,1.0788512104902532,65155326.56829822
2022-07-27,300.50372314453125,69304400,32197.58984375,13847.009765625,18350.580078125,17775.590209960938,326.52668874672923,1.7609276300537076,65324676.50428604
2022-07-28,303.4421081542969,55139900,32529.630859375,14275.2998046875,18254.3310546875,17782.79183959961,334.62043596189073,1.409176381389908,64908971.34084579
2022-07-29,308.9759521484375,57501000,32845.12890625,14609.0,18236.12890625,17804.14337158203,341.2104872935763,1.266038268912555,64606605.16366841
